_id,Forward_Sortation_Area,Name_of_Dog,Breed,Color,Ward_Number,Ward_Name,Bite_Circumstance,Location_of_Incident,Date_of_Dangerous_Act
154,M3J,MILO,AMER BULLDOG,BR BRINDLE / WHITE,07,Humber River-Black Creek,NON SEVERE,PUBLIC PROPERTY,2022-03-18
155,M2K,SHADOW,AUST SHEPHERD,TRICOLOUR / BLACK,18,Willowdale,SEVERE,PUBLIC PROPERTY,2022-03-20
156,M2P,MAX,ROTTWEILER,BLACK / TAN,15,Don Valley West,SEVERE,PUBLIC PROPERTY,2022-04-08
157,M4W,ODIN,SIBERIAN HUSKY,GREY / WHITE,11,University-Rosedale,NON SEVERE,PUBLIC PROPERTY,2022-04-23
158,M5P,PURPLE,LABRADOR RETR / ROTTWEILER,BLACK / WHITE,12,Toronto-St. Paul's,SEVERE,OTHER PRIVATE PROPERTY,2022-04-24
159,M4T,BROCCOLI,CAROLINA DOG MIX,TAN,12,Toronto-St. Paul's,SEVERE,OTHER PRIVATE PROPERTY,2022-04-25
160,M6A,RAIDEN,DOGO ARGENTINO / AMER BULLDOG,WHITE,08,Eglinton-Lawrence,VERY SEVERE,PUBLIC PROPERTY,2022-05-09
161,M4J,KING,ROTTWEILER,BLACK / BROWN,14,Toronto-Danforth,SEVERE,PARK - LEASH FREE AREA,2022-05-11
162,M4J,BLICKY,AMER BULLDOG,GREY / WHITE,14,Toronto-Danforth,NON SEVERE,PARK - LEASH FREE AREA,2022-05-13
163,M6R,MAIA,ROTTWEILER / LABRADOR RETR,BLACK / TAN,04,Parkdale-High Park,SEVERE,PUBLIC PROPERTY,2022-05-14
164,M2J,PABLO,OLD ENG BULLDOG,BLUE,17,Don Valley North,SEVERE,OTHER PRIVATE PROPERTY,2022-05-17
165,M4V,BEATRIX,WEIMARANER,GREY,12,Toronto-St. Paul's,SEVERE,PUBLIC PROPERTY,2022-05-20
166,M5R,MOOSE,BOSTON TERRIER,BROWN / WHITE,12,Toronto-St. Paul's,SEVERE,PUBLIC PROPERTY,2022-05-27
167,M2J,BIG BOY,CANE CORSO,BR BRINDLE / GREY,17,Don Valley North,SEVERE,PUBLIC PROPERTY,2022-06-06
168,M4J,SHYLA,AMER BULLDOG MIX,BROWN,14,Toronto-Danforth,SEVERE,OTHER PRIVATE PROPERTY,2022-06-09
169,M9N,PATRON,CANE CORSO MIX,GREY,05,York South-Weston,SEVERE,OWNERS PROPERTY,2022-06-12
170,M9N,REINA,AMER BULLDOG MIX,GREY,05,York South-Weston,SEVERE,OWNERS PROPERTY,2022-06-12
171,M6K,KEIKO,WHIPPET / VIZSLA,BROWN,10,Spadina-Fort York,SEVERE,PUBLIC PROPERTY,2022-06-14
172,M1L,MOLLY,LABRADOR RETR,YELLOW,20,Scarborough Southwest,SEVERE,PUBLIC PROPERTY,2022-06-15
173,M4P,KATO,CHOW CHOW / SIBERIAN HUSKY,TAN,15,Don Valley West,NOT A BITE,OTHER PRIVATE PROPERTY,2022-06-22
174,M1N,MAKEUP,BULLMASTIFF / AM PIT BULL TER,BROWN / WHITE,20,Scarborough Southwest,NON SEVERE,PARK - LEASH FREE AREA,2022-06-24
175,M1C,ANUBIS,SIBERIAN HUSKY / AKITA,GREY / BLACK,25,Scarborough-Rouge Park,SEVERE,PARK - LEASH REQUIRED AREA,2022-06-30
176,M5A,BEAR,SIBERIAN HUSKY / GERM SHEPHERD,GREY / BLACK,13,Toronto Centre,SEVERE,OTHER PRIVATE PROPERTY,2022-07-01
177,M4G,CASSIE,GOLDEN RETR,GOLD,15,Don Valley West,SEVERE,PARK - LEASH REQUIRED AREA,2022-07-02
178,M6B,DIGGY,ROTTWEILER / MASTIFF,RED,08,Eglinton-Lawrence,SEVERE,PUBLIC PROPERTY,2022-07-03
179,M2J,KALI,AMER BULLDOG,BROWN / WHITE,17,Don Valley North,SEVERE,PUBLIC PROPERTY,2022-07-06
180,M2M,BLUE,BULLMASTIFF,BROWN,18,Willowdale,SEVERE,OWNERS PROPERTY,2022-07-09
181,M4L,LUNA,ROTTWEILER,BLACK / TAN,14,Toronto-Danforth,NON SEVERE,PUBLIC PROPERTY,2022-07-09
182,M4M,FIN,GERM SHEPHERD,BLACK,14,Toronto-Danforth,SEVERE,OWNERS PROPERTY,2022-07-14
183,M5R,CAROL,SIBERIAN HUSKY,BLACK / WHITE,12,Toronto-St. Paul's,SEVERE,PUBLIC PROPERTY,2022-07-14
184,M4L,BELLA,SHIH TZU,BLACK,14,Toronto-Danforth,NON SEVERE,OTHER PRIVATE PROPERTY,2022-07-20
185,M4B,REMY,ROTTWEILER,BLACK / TAN,19,Beaches-East York,SEVERE,OTHER PRIVATE PROPERTY,2022-07-20
186,M4C,SAPHIRE,AMER BULLDOG,TAN / WHITE,19,Beaches-East York,SEVERE,PUBLIC PROPERTY,2022-07-25
187,M6C,KAIBO,PORT WATER DOG,BLACK / WHITE,12,Toronto-St. Paul's,NON SEVERE,OTHER PRIVATE PROPERTY,2022-07-26
188,M2J,SKY,BORDER COLLIE / LABRADOR RETR,RED / WHITE,17,Don Valley North,NON SEVERE,PUBLIC PROPERTY,2022-07-26
189,M4X,ROLO,ENG BULLDOG / BOXER,TAN / WHITE,13,Toronto Centre,NON SEVERE,OTHER PRIVATE PROPERTY,2022-07-28
190,M4L,KEELOW,BULLMASTIFF,BR BRINDLE / WHITE,14,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,2022-07-28
191,M3J,TACO,SIBERIAN HUSKY,BROWN / WHITE,06,York Centre,SEVERE,PUBLIC PROPERTY,2022-07-31
192,M2P,CHARLOTTE,GERM SHEPHERD MIX,BLACK,15,Don Valley West,NON SEVERE,PUBLIC PROPERTY,2022-08-04
193,M1B,MERCY,MASTIFF MIX,BLACK / BROWN,25,Scarborough-Rouge Park,SEVERE,PUBLIC PROPERTY,2022-08-12
194,L9C,BRUNA,RUSSIAN TERRIER,BLACK,04,Parkdale-High Park,NON SEVERE,OTHER PRIVATE PROPERTY,2022-08-15
195,M4X,PEACHES,AM PIT BULL TER / LABRADOR RETR,TAN / WHITE,13,Toronto Centre,SEVERE,PARK - LEASH FREE AREA,2022-08-22
196,M4X,BLUE,AMER BULLDOG / BOXER,GREY / WHITE,13,Toronto Centre,SEVERE,PARK - LEASH FREE AREA,2022-08-22
197,M2J,FUGUI,ENG BULLDOG,TRICOLOUR / WHITE,17,Don Valley North,NOT A BITE,OTHER PRIVATE PROPERTY,2022-08-25
198,M1V,SATCHEL,SC WHEAT TERR,CREAM,23,Scarborough North,SEVERE,OTHER PRIVATE PROPERTY,2022-08-28
199,M1S,BENTLEY,OLDENG SHEEPDOG / POODLE STND,BLACK / WHITE,22,Scarborough-Agincourt,SEVERE,OTHER PRIVATE PROPERTY,2022-08-28
200,M1G,SABER,BORDER COLLIE / AUST CATTLE DOG,BLACK / WHITE,24,Scarborough-Guildwood,SEVERE,OWNERS PROPERTY,2022-08-29
201,M4M,FELIX,GERM SHEPHERD MIX,BLACK / TAN,14,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,2022-09-04
202,M4M,SAM,SIBERIAN HUSKY MIX,WHITE / BLACK,14,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,2022-09-04
203,M5V,STANLEY,ROTTWEILER / LABRADOR RETR,BROWN / BLACK,10,Spadina-Fort York,NON SEVERE,PARK - LEASH FREE AREA,2022-09-06
204,M3B,PEANUT,GOLDEN RETR / BASSET HOUND,TAN,16,Don Valley East,SEVERE,PUBLIC PROPERTY,2022-09-17
205,M4M,ESME,OLD ENG BULLDOG,WHITE / BLACK,14,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,2022-09-17
206,M6S,ROMAN,BULLMASTIFF / PRESA CANARIO,FAWN,04,Parkdale-High Park,NON SEVERE,PUBLIC PROPERTY,2022-09-26
207,M4H,MAYA,AM PIT BULL TER / ENG BULLDOG,TAN / WHITE,15,Don Valley West,NON SEVERE,OTHER PRIVATE PROPERTY,2022-10-01
208,M6M,FRANKLIN,POODLE STND,BR BRINDLE,05,York South-Weston,SEVERE,PUBLIC PROPERTY,2022-10-05
209,M4C,DICE,AMER BULLDOG MIX,BLACK / WHITE,19,Beaches-East York,SEVERE,PUBLIC PROPERTY,2022-10-12
210,M5T,BELLA,ROTTWEILER / GERM SHEPHERD,BROWN / RED,10,Spadina-Fort York,NOT A BITE,OTHER PRIVATE PROPERTY,2022-10-18
211,M3N,BONNIE,AM PIT BULL TER / ENG BULLDOG,GREY / WHITE,07,Humber River-Black Creek,SEVERE,PARK - LEASH REQUIRED AREA,2022-10-20
212,M2L,ARCHIE,GERM SHEPHERD,BLACK / GOLD,15,Don Valley West,SEVERE,PUBLIC PROPERTY,2022-10-20
213,M9P,MAGNOLIA,ROTTWEILER / GERM SHEPHERD,BLACK / WHITE,01,Etobicoke North,SEVERE,OTHER PRIVATE PROPERTY,2022-10-23
214,M2J,RICK,GERM SHEPHERD,BLACK / BROWN,17,Don Valley North,NOT A BITE,OTHER PRIVATE PROPERTY,2022-10-25
215,M1E,XENA,PRESA CANARIO,TAN / BLACK,24,Scarborough-Guildwood,SEVERE,PUBLIC PROPERTY,2022-10-25
216,M2N,BACON,GERM SHEPHERD,TAN / BLACK,18,Willowdale,SEVERE,PUBLIC PROPERTY,2022-10-31
217,M8W,TIBERIUS,ROTTWEILER,BLACK / TAN,03,Etobicoke-Lakeshore,SEVERE,PUBLIC PROPERTY,2022-11-06
218,M1T,KILO,AM PIT BULL TER / ENG BULLDOG,GREY / WHITE,22,Scarborough-Agincourt,NON SEVERE,OTHER PRIVATE PROPERTY,2022-11-08
219,M3M,QUEENIE,AM PIT BULL TER / ENG BULLDOG,TAN,06,York Centre,NON SEVERE,PUBLIC PROPERTY,2022-12-04
220,M2J,DIESEL,GERM SHEPHERD,BLACK / TAN,17,Don Valley North,NON SEVERE,PARK - LEASH REQUIRED AREA,2022-12-06
221,M1W,JACK,CANE CORSO,BLACK / WHITE,22,Scarborough-Agincourt,SEVERE,PUBLIC PROPERTY,2022-12-11
222,M4L,SAM,LABRADOR RETR,FAWN,14,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,2022-12-22
223,M6M,LAILA,CANE CORSO / GOLDEN RETR,BLACK,05,York South-Weston,SEVERE,OTHER PRIVATE PROPERTY,2023-01-05
224,M6J,MABEL,HOUND / BEAGLE,WHITE / BLACK,11,University-Rosedale,SEVERE,PARK - LEASH REQUIRED AREA,2023-01-12
225,M4L,RIVER,SPINONE ITAL,CREAM,19,Beaches-East York,SEVERE,PARK - LEASH REQUIRED AREA,2023-01-17
226,M1H,MOLLY,GERM SHEPHERD MIX,BLACK / TAN,24,Scarborough-Guildwood,SEVERE,PUBLIC PROPERTY,2023-02-20
227,M4K,BISHOP,GERM SH POINT,BROWN / WHITE,14,Toronto-Danforth,VERY SEVERE,PUBLIC PROPERTY,2023-02-21
228,M5A,BONNIE,AMER BULLDOG,BROWN / WHITE,13,Toronto Centre,SEVERE,OTHER PRIVATE PROPERTY,2023-02-22
229,M1M,PRINCE,AMER BULLDOG,WHITE / BROWN,20,Scarborough Southwest,SEVERE,OTHER PRIVATE PROPERTY,2023-03-09
230,M3C,PYRO,ROTTWEILER / GERM SHEPHERD,BLACK / TAN,16,Don Valley East,SEVERE,OTHER PRIVATE PROPERTY,2023-03-27
231,M4P,CHARLES,GREAT PYRENEES / GOLDEN RETR,WHITE,12,Toronto-St. Paul's,NON SEVERE,PUBLIC PROPERTY,2023-03-31
232,M2K,GHOST,GERM SHEPHERD,BLACK,17,Don Valley North,SEVERE,PUBLIC PROPERTY,2023-04-08
233,M4C,CALLIE,BULLMASTIFF,BLACK / WHITE,19,Beaches-East York,NON SEVERE,PUBLIC PROPERTY,2023-04-13
234,M1J,MOOSE,CANE CORSO,TAN / GREY,21,Scarborough Centre,NOT A BITE,PUBLIC PROPERTY,2023-04-16
235,M3J,TYSON,AMER BULLDOG,BLACK / WHITE,06,York Centre,NOT A BITE,PUBLIC PROPERTY,2023-04-20
236,M3J,ROMMEL,GERM SHEPHERD,BROWN / BLACK,07,Humber River-Black Creek,SEVERE,OTHER PRIVATE PROPERTY,2023-04-23
237,M5M,HARLEY,AMER BULLDOG,BR BRINDLE,08,Eglinton-Lawrence,NON SEVERE,PUBLIC PROPERTY,2023-04-27
238,M6P,SHIKA,PATTERDALE TERR / AM PIT BULL TER,BLUE / GREY,04,Parkdale-High Park,SEVERE,PUBLIC PROPERTY,2023-04-28
239,M3L,BEAR,BORDER COLLIE / LABRADOR RETR,BLACK / WHITE,07,Humber River-Black Creek,NON SEVERE,OTHER PRIVATE PROPERTY,2023-05-01
240,M9A,TRIXIE,LABRADOR RETR / AM PIT BULL TER,BLACK / BR BRINDLE,02,Etobicoke Centre,SEVERE,OTHER PRIVATE PROPERTY,2023-05-02
241,M9A,TYSON,LABRADOR RETR / AM PIT BULL TER,BLACK,02,Etobicoke Centre,SEVERE,OTHER PRIVATE PROPERTY,2023-05-02
242,M5T,ZEPPELIN,GERM SHEPHERD,BLACK / TAN,11,University-Rosedale,NON SEVERE,OTHER PRIVATE PROPERTY,2023-05-09
243,M4L,DAISY,GERM SHEPHERD / LABRADOR RETR,BLACK / TAN,19,Beaches-East York,SEVERE,PARK - LEASH REQUIRED AREA,2023-05-11
244,M4J,LADY,GOLDEN RETR / POODLE STND,WHITE,14,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,2023-05-14
245,M9R,TIA,AMER BULLDOG,BLACK / WHITE,01,Etobicoke North,SEVERE,OTHER PRIVATE PROPERTY,2023-05-23
246,M1K,BEAR,GERM SHEPHERD MIX,TAN / WHITE,20,Scarborough Southwest,SEVERE,PUBLIC PROPERTY,2023-06-04
247,M1W,LUNA,FILA,BR BRINDLE / WHITE,22,Scarborough-Agincourt,NOT A BITE,PUBLIC PROPERTY,2023-06-06
248,M3J,NALA,AMER BULLDOG,BEIGE / WHITE,06,York Centre,NON SEVERE,PUBLIC PROPERTY,2023-06-14
249,M4J,FRIDA,AUST SHEPHERD,TRICOLOUR,14,Toronto-Danforth,NON SEVERE,PARK - LEASH REQUIRED AREA,2023-06-18
250,M6B,TYSON,POODLE STND / GOLDEN RETR,TAN,08,Eglinton-Lawrence,SEVERE,PUBLIC PROPERTY,2023-06-21
251,M4S,GIGI,AM PIT BULL TER / LABRADOR RETR,TRICOLOUR,12,Toronto-St. Paul's,SEVERE,PUBLIC PROPERTY,2023-06-23
252,M6H,VENTURE,GOLDEN RETR,GOLD,09,Davenport,SEVERE,PUBLIC PROPERTY,2023-06-25
253,M1R,HERCEG,MASTIFF,TAN / BLACK,21,Scarborough Centre,SEVERE,OTHER PRIVATE PROPERTY,2023-06-25
254,M1G,MAZIKEEN,LABRADOR RETR / AMER BULLDOG,BLACK,24,Scarborough-Guildwood,SEVERE,PUBLIC PROPERTY,2023-06-28
255,M1G,REIGN,BELG MALINOIS / DUTCH SHEPHERD,BROWN / TAN,24,Scarborough-Guildwood,SEVERE,PUBLIC PROPERTY,2023-06-28
256,M1G,CHARLIE,SIBERIAN HUSKY MIX,BR BRINDLE / WHITE,24,Scarborough-Guildwood,SEVERE,PUBLIC PROPERTY,2023-06-28
257,M6G,MAX,BULLDOG MIX,BLACK / WHITE,12,Toronto-St. Paul's,SEVERE,PARK - LEASH REQUIRED AREA,2023-06-29
258,M3A,FREYJA,AMER BULLDOG MIX,FAWN,16,Don Valley East,VERY SEVERE,OTHER PRIVATE PROPERTY,2023-06-29
259,M3A,ODIN,PRESA CANARIO,BL BRINDLE,16,Don Valley East,VERY SEVERE,OTHER PRIVATE PROPERTY,2023-06-29
260,M1M,COLD AS ICE (ARTIC),LABRADOR RETR,BLACK / WHITE,20,Scarborough Southwest,SEVERE,PARK - LEASH REQUIRED AREA,2023-06-30
261,M9C,LUCIFER,ENG BULLDOG / AM PIT BULL TER,FAWN / WHITE,02,Etobicoke Centre,NOT A BITE,PARK - LEASH REQUIRED AREA,2023-07-03
262,M3A,ARCHIE,PRESA CANARIO,BR BRINDLE / WHITE,16,Don Valley East,SEVERE,OTHER PRIVATE PROPERTY,2023-07-04
263,M6E,PRINCE,LABRADOR RETR / RHOD RIDGEBACK,APRICOT / BLACK,09,Davenport,SEVERE,PARK - LEASH FREE AREA,2017-02-21
264,M8W,KUSH,CANE CORSO,BLACK / BL BRINDLE,03,Etobicoke-Lakeshore,NON SEVERE,OTHER PRIVATE PROPERTY,2023-07-07
265,M1C,JADE,BOXER,TAN / WHITE,25,Scarborough-Rouge Park,NOT A BITE,PARK - LEASH REQUIRED AREA,2023-07-10
266,M4K,DRACO,ROTTWEILER / GERM SHEPHERD,BLACK / BROWN,14,Toronto-Danforth,NON SEVERE,PUBLIC PROPERTY,2023-07-18
267,M2M,HEICHU,BORDER COLLIE,BLACK / WHITE,18,Willowdale,NOT A BITE,OTHER PRIVATE PROPERTY,2023-07-18
268,M4K,REMY,ROTTWEILER MIX,BLACK,14,Toronto-Danforth,NON SEVERE,PUBLIC PROPERTY,2023-07-18
269,M5A,REX,ROTTWEILER,BLACK / TAN,13,Toronto Centre,SEVERE,OTHER PRIVATE PROPERTY,2023-07-19
270,M1L,ATHENA,MASTIFF / ROTTWEILER,BROWN / WHITE,20,Scarborough Southwest,NOT A BITE,PUBLIC PROPERTY,2023-07-25
271,M6S,TILDA,BULL TERRIER,BR BRINDLE / WHITE,04,Parkdale-High Park,SEVERE,PARK - LEASH REQUIRED AREA,2023-07-30
272,M6R,HENRY,LABRADOR RETR / JINDO,TAN,04,Parkdale-High Park,SEVERE,PUBLIC PROPERTY,2023-08-01
273,M1S,ZEUS,AMER BULLDOG / CHOW CHOW,BLACK,23,Scarborough North,SEVERE,PARK - LEASH REQUIRED AREA,2023-08-02
